,year,coach,regular_season_games,wins,losses,ties,win_percentage,playoff_games,playoff_wins,playoff_losses,playoff_result,coordinator_offense,coordinator_defense
56,1968.0,Joe Kuharich,14,2,12,0,0.143,0.0,0.0,0.0,N/A,Herman Ball,Dick Evans
57,1967.0,Joe Kuharich,14,6,7,1,0.462,0.0,0.0,0.0,N/A,Herman Ball,Dick Evans
58,1966.0,Joe Kuharich,14,9,5,0,0.643,0.0,0.0,0.0,N/A,Herman Ball,Dick Evans
59,1965.0,Joe Kuharich,14,5,9,0,0.357,0.0,0.0,0.0,N/A,Herman Ball,Dick Evans
60,1964.0,Joe Kuharich,14,6,8,0,0.429,0.0,0.0,0.0,N/A,Herman Ball,Dick Evans
61,1963.0,Nick Skorich,14,2,10,2,0.167,0.0,0.0,0.0,N/A,N/A,N/A
62,1962.0,Nick Skorich,14,3,10,1,0.231,0.0,0.0,0.0,N/A,N/A,N/A
63,1961.0,Nick Skorich,14,10,4,0,0.714,0.0,0.0,0.0,N/A,N/A,N/A
64,1960.0,Buck Shaw,12,10,2,0,0.833,1.0,1.0,0.0,Won Champ,N/A,N/A
65,1959.0,Buck Shaw,12,7,5,0,0.583,0.0,0.0,0.0,N/A,N/A,N/A
66,1958.0,Buck Shaw,12,2,9,1,0.182,0.0,0.0,0.0,N/A,N/A,N/A
67,1957.0,Hugh Devore,12,4,8,0,0.333,0.0,0.0,0.0,N/A,N/A,N/A
68,1956.0,Hugh Devore,12,3,8,1,0.273,0.0,0.0,0.0,N/A,N/A,N/A
69,1955.0,Jim Trimble,12,4,7,1,0.364,0.0,0.0,0.0,N/A,N/A,N/A
70,1954.0,Jim Trimble,12,7,4,1,0.636,0.0,0.0,0.0,N/A,N/A,N/A
71,1953.0,Jim Trimble,12,7,4,1,0.636,0.0,0.0,0.0,N/A,N/A,N/A
72,1952.0,Jim Trimble,12,7,5,0,0.583,0.0,0.0,0.0,N/A,N/A,N/A
73,1951.0,Wayne Millner,10,2,8,0,0.2,0.0,0.0,0.0,N/A,N/A,N/A
74,N/A,Bo McMillin,2,2,0,0,1.0,0.0,0.0,0.0,N/A,N/A,N/A
75,1950.0,Greasy Neale,12,6,6,0,0.5,0.0,0.0,0.0,N/A,N/A,N/A
76,1949.0,Greasy Neale,12,11,1,0,0.917,1.0,1.0,0.0,Won Champ,N/A,N/A
77,1948.0,Greasy Neale,12,9,2,1,0.818,1.0,1.0,0.0,Won Champ,N/A,N/A
78,1947.0,Greasy Neale,12,8,4,0,0.667,2.0,1.0,1.0,Lost Champ,N/A,N/A
79,1946.0,Greasy Neale,11,6,5,0,0.545,0.0,0.0,0.0,N/A,N/A,N/A
80,1945.0,Greasy Neale,10,7,3,0,0.7,0.0,0.0,0.0,N/A,N/A,N/A
81,1944.0,Greasy Neale,10,7,1,2,0.875,0.0,0.0,0.0,N/A,N/A,N/A
82,1943.0,Greasy Neale,10,5,4,1,0.556,0.0,0.0,0.0,N/A,N/A,N/A
83,N/A,Walt Kiesling,10,5,4,1,0.556,0.0,0.0,0.0,N/A,N/A,N/A
84,1942.0,Greasy Neale,11,2,9,0,0.182,0.0,0.0,0.0,N/A,N/A,N/A
85,1941.0,Greasy Neale,11,2,8,1,0.2,0.0,0.0,0.0,N/A,N/A,N/A
86,1940.0,Bert Bell,11,1,10,0,0.091,0.0,0.0,0.0,N/A,N/A,N/A
87,1939.0,Bert Bell,11,1,9,1,0.1,0.0,0.0,0.0,N/A,N/A,N/A
88,1938.0,Bert Bell,11,5,6,0,0.455,0.0,0.0,0.0,N/A,N/A,N/A
89,1937.0,Bert Bell,11,2,8,1,0.2,0.0,0.0,0.0,N/A,N/A,N/A
90,1936.0,Bert Bell,12,1,11,0,0.083,0.0,0.0,0.0,N/A,N/A,N/A
91,1935.0,Lud Wray,11,2,9,0,0.182,0.0,0.0,0.0,N/A,N/A,N/A
92,1934.0,Lud Wray,11,4,7,0,0.364,0.0,0.0,0.0,N/A,N/A,N/A
93,1933.0,Lud Wray,9,3,5,1,0.375,0.0,0.0,0.0,N/A,N/A,N/A
